player_id,team_id,goals,assists,minutes_played
824,31,0,0,237
1054,22,0,0,237
509,28,0,0,237
615,47,0,0,237
711,31,0,0,237
500,42,0,0,237
464,37,0,0,237
107,29,0,0,240
242,12,0,0,240
368,40,0,0,241
164,3,0,0,245
1148,19,0,0,247
1027,46,0,0,247
624,32,0,0,248
647,45,0,0,249
620,14,0,0,250
600,33,0,0,251
1119,40,0,0,252
571,16,0,0,253
98,6,0,0,254
518,3,0,0,255
113,38,0,0,255
850,37,0,0,256
506,39,0,0,257
581,21,0,0,257
120,44,0,0,257
75,9,0,0,258
114,12,0,0,258
179,21,0,0,259
485,23,0,0,259
302,14,0,0,260
455,17,0,0,260
387,47,0,0,261
385,37,0,0,262
365,6,0,0,262
251,33,0,0,264
181,6,0,0,266
1130,14,0,0,267
1104,25,0,0,267
344,44,0,0,267
1149,2,0,0,267
962,48,0,0,268
140,5,0,0,268
668,27,0,0,268
42,36,0,0,269
44,16,0,0,270
984,4,0,0,270
326,33,0,0,272
381,47,0,0,272
1210,44,0,0,274
1097,27,0,0,274
569,31,0,0,275
1070,37,0,0,276
309,43,0,0,276
332,28,0,0,278
959,32,0,0,279
626,14,0,0,280
684,21,0,0,282
655,4,0,0,284
6,26,0,0,287
876,39,0,0,287
961,40,0,0,287
1057,48,0,0,288
271,22,0,0,288
1135,9,0,0,288
831,30,0,0,291
544,22,0,0,292
1137,6,0,0,292
74,44,0,0,293
814,24,0,0,293
449,34,0,0,293
1143,40,0,0,293
218,33,0,0,295
867,26,0,0,296
935,11,0,0,297
1065,24,0,0,298
872,44,0,0,298
670,27,0,0,300
699,27,0,0,300
698,27,0,0,300
49,20,0,0,300
13,45,0,0,300
694,14,0,0,300
1101,14,0,0,300
137,14,0,0,300
345,14,0,0,300
1088,37,0,0,300
130,20,0,0,300
1035,15,0,0,301
787,15,0,0,301
31,17,0,0,301
721,1,0,0,302
776,31,0,0,302
422,12,0,0,303
110,33,0,0,303
598,33,0,0,303
958,33,0,0,303
103,33,0,0,303
40,23,0,0,303
818,23,0,0,303
832,34,0,0,306
863,37,0,0,306
806,31,0,0,306
708,38,0,0,306
117,38,0,0,306
517,38,0,0,306
1090,38,0,0,306
1025,22,0,0,306
457,22,0,0,306
781,22,0,0,306
580,22,0,0,306
1152,21,0,0,307
350,12,0,0,308
1219,26,0,0,309
1218,26,0,0,309
1105,24,0,0,309
82,24,0,0,309
86,24,0,0,309
745,36,0,0,310
988,36,0,0,310
187,36,0,0,310
511,36,0,0,310
97,6,0,0,310
440,12,0,0,311
769,13,0,0,311
352,16,0,0,311
8,48,0,0,311
786,21,0,0,312
1041,47,0,0,313
1093,47,0,0,313
794,47,0,0,313
443,47,0,0,313
888,1,0,0,313
1177,45,0,0,313
552,21,0,0,313
530,8,0,0,314
936,18,0,0,315
1016,1,0,0,315
945,12,0,0,316
585,21,0,0,323
579,16,0,0,330
303,34,0,0,332
372,43,0,0,332
1098,46,0,0,335
526,10,0,0,338
551,5,0,0,341
586,3,0,0,343
1124,8,0,0,346
227,28,0,0,349
297,9,0,0,351
1021,18,0,0,352
925,6,0,0,353
405,32,0,0,355
408,42,0,0,356
1078,11,0,0,360
406,30,0,0,360
921,4,0,0,361
951,34,0,0,363
65,32,0,0,363
952,17,0,0,369
1120,4,0,0,370
308,18,0,0,373
896,5,0,0,376
998,16,0,0,376
578,18,0,0,380
145,40,0,0,381
486,1,0,0,389
1182,42,0,0,390
291,43,0,0,392
1172,46,0,0,397
